;;MTRL-0421;;;;;;;;
07/04/2021 10:30;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,612E+12;Atendida;00:01:09;00:00:07;00:01:16;0,12;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 10:33;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+12;Atendida;00:00:43;00:00:08;00:00:51;0,13;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 10:34;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:06;00:00:17;00:00:23;0,28;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 10:40;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:40;00:00:12;00:00:52;0,2;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 10:43;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:46;00:00:12;00:00:58;0,2;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 10:47;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:42;00:00:03;00:00:45;0,05;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 10:48;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+12;Atendida;00:00:11;00:00:08;00:00:19;0,13;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 10:55;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:41;00:00:09;00:00:50;0,15;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 10:56;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:32;00:00:01;00:00:33;0,02;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 10:56;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:17;00:00:14;00:00:31;0,23;Terminado por 02611988923442;
07/04/2021 13:31;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,612E+12;Atendida;00:00:03;00:00:04;00:00:07;0,07;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 13:48;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,612E+12;Atendida;00:00:16;00:00:13;00:00:29;0,22;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 13:51;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,612E+12;Atendida;00:00:27;00:00:09;00:00:36;0,15;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 13:52;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:31;00:00:13;00:00:44;0,22;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 13:56;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:22;00:00:12;00:00:34;0,2;Terminado por 02611989664062;
07/04/2021 13:58;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:26;00:00:18;00:00:44;0,3;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 14:03;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+12;Atendida;00:00:14;00:00:19;00:00:33;0,32;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 15:08;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:12;00:00:15;00:00:27;0,25;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 15:14;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+12;Atendida;00:00:38;00:00:05;00:00:43;0,08;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 15:16;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+12;Atendida;00:00:13;00:00:14;00:00:27;0,23;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 15:20;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,62E+12;Atendida;00:00:40;00:00:07;00:00:47;0,12;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 15:26;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:19;00:00:03;00:00:22;0,05;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 15:27;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:17;00:00:23;00:00:40;0,38;Terminado por 02619992301402;
07/04/2021 15:29;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61997E+12;Atendida;00:00:17;00:00:42;00:00:59;0,7;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 15:31;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:24;00:00:12;00:00:36;0,2;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:16;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:05;00:00:08;00:00:13;0,13;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:16;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:04;00:00:08;00:00:12;0,13;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:17;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:25;00:00:08;00:00:33;0,13;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:18;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:20;00:00:12;00:00:32;0,2;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:18;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:07;00:00:02;00:00:09;0,03;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:18;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:10;00:00:01;00:00:11;0,02;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:19;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,62E+12;Atendida;00:00:24;00:00:08;00:00:32;0,13;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:19;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:42;00:00:17;00:00:59;0,28;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:19;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:21;00:01:06;00:01:27;1,1;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:21;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61997E+12;Atendida;00:00:30;00:00:07;00:00:37;0,12;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:22;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:41;00:00:02;00:00:43;0,03;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:22;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:12;00:00:52;00:01:04;0,87;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:23;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,62E+12;Atendida;00:00:38;00:00:02;00:00:40;0,03;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:23;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:10;00:00:38;00:00:48;0,63;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:24;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:29;00:00:10;00:00:39;0,17;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:24;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:16;00:01:01;00:01:17;1,02;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:27;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:08;00:00:01;00:00:09;0,02;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:30;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:05;00:00:11;00:00:16;0,18;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:28;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:22;00:03:02;00:03:24;3,03;Terminado por 02619984194901;
08/04/2021 08:31;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,62E+12;Atendida;00:00:14;00:00:30;00:00:44;0,5;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:32;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:06;00:00:11;00:00:17;0,18;Terminado por 02619984211830;
08/04/2021 08:32;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:19;00:00:37;00:00:56;0,62;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:34;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:22;00:00:08;00:00:30;0,13;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:34;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:40;00:00:08;00:00:48;0,13;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:35;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:42;00:00:09;00:00:51;0,15;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:35;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:18;00:00:50;00:01:08;0,83;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:40;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,62E+12;Atendida;00:00:40;00:00:06;00:00:46;0,1;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:46;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61939E+11;Atendida;00:00:25;00:05:40;00:06:05;5,67;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:52;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:15;00:00:06;00:00:21;0,1;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:52;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:45;00:00:07;00:00:52;0,12;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:53;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,62E+12;Atendida;00:00:47;00:00:08;00:00:55;0,13;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:56;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:40;00:00:08;00:00:48;0,13;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 08:57;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:09;00:00:23;00:00:32;0,38;Terminado por 02619988532012;
08/04/2021 08:59;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:40;00:00:08;00:00:48;0,13;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:00;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:40;00:00:03;00:00:43;0,05;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:04;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:18;00:00:38;00:00:56;0,63;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:06;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:41;00:00:02;00:00:43;0,03;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:07;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:38;00:00:14;00:00:52;0,23;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:08;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:39;00:00:12;00:00:51;0,2;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:10;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:38;00:00:06;00:00:44;0,1;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:11;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:26;00:00:15;00:00:41;0,25;Terminado por 02619984305119;
08/04/2021 09:12;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:46;00:00:12;00:00:58;0,2;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:13;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:17;00:00:29;00:00:46;0,48;Terminado por 02619993827497;
08/04/2021 09:14;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:42;00:00:03;00:00:45;0,05;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:15;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:43;00:00:13;00:00:56;0,22;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:17;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:16;00:00:37;00:00:53;0,62;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:17;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,62E+12;Atendida;00:00:42;00:00:19;00:01:01;0,32;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:18;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:18;00:00:07;00:00:25;0,12;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:19;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:43;00:00:22;00:01:05;0,37;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:24;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:32;00:00:48;00:01:20;0,8;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:27;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:20;00:00:29;00:00:49;0,48;Terminado por 02619981400498;
08/04/2021 09:28;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,62E+12;Atendida;00:00:14;00:00:03;00:00:17;0,05;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:30;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:25;00:00:03;00:00:28;0,05;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:31;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:41;00:00:30;00:01:11;0,5;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:36;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:41;00:00:13;00:00:54;0,22;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:46;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:05;00:00:12;00:00:17;0,2;Terminado por 02619993427423;
08/04/2021 09:47;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:21;00:00:17;00:00:38;0,28;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:48;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,62E+12;Atendida;00:00:38;00:00:05;00:00:43;0,08;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
08/04/2021 09:50;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:16;00:00:53;00:01:09;0,88;Terminado por 02619991067078;
